journal,impact_factor,quartile,jcr_quartile,cas_quartile,jif_rank,category,cas_top,open_access,source
Diabetes & Vascular Disease Research,3.0,JCR Q2 / CAS 4区,Q2,CAS 4区,32/98,ENDOCRINOLOGY & METABOLISM(SCIE);PERIPHERAL VASCULAR DISEASE(SCIE),否,否,2025 CAS/JCR user table
DIABETES CARE,16.6,JCR Q1 / CAS 1区,Q1,CAS 1区,6/191,ENDOCRINOLOGY & METABOLISM(SCIE),是,否,2025 CAS/JCR user table
Diabetes Epidemiology and Management,1.4,JCR Q4 / CAS 4区,Q4,CAS 4区,162/191,ENDOCRINOLOGY & METABOLISM(ESCI),否,是,2025 CAS/JCR user table
Diabetes Mellitus,0.4,JCR Q4 / CAS 4区,Q4,CAS 4区,181/191,ENDOCRINOLOGY & METABOLISM(ESCI),否,是,2025 CAS/JCR user table
Diabetes Metabolic Syndrome and Obesity,3.0,JCR Q2 / CAS 3区,Q2,CAS 3区,92/191,ENDOCRINOLOGY & METABOLISM(SCIE),否,是,2025 CAS/JCR user table
DIABETES OBESITY & METABOLISM,5.7,JCR Q1 / CAS 2区,Q1,CAS 2区,30/191,ENDOCRINOLOGY & METABOLISM(SCIE),否,否,2025 CAS/JCR user table
DIABETES RESEARCH AND CLINICAL PRACTICE,7.4,JCR Q1 / CAS 3区,Q1,CAS 3区,18/191,ENDOCRINOLOGY & METABOLISM(SCIE),否,否,2025 CAS/JCR user table
Diabetes Stoffwechsel und Herz,0.4,JCR Q4 / CAS 4区,Q4,CAS 4区,181/191,ENDOCRINOLOGY & METABOLISM(SCIE),否,否,2025 CAS/JCR user table
Diabetes Technology & Therapeutics,6.3,JCR Q1 / CAS 2区,Q1,CAS 2区,24/191,ENDOCRINOLOGY & METABOLISM(SCIE),否,否,2025 CAS/JCR user table
Diabetes Therapy,2.6,JCR Q3 / CAS 3区,Q3,CAS 3区,114/191,ENDOCRINOLOGY & METABOLISM(SCIE),否,是,2025 CAS/JCR user table
DIABETES-METABOLISM RESEARCH AND REVIEWS,6.0,JCR Q1 / CAS 3区,Q1,CAS 3区,28/191,ENDOCRINOLOGY & METABOLISM(SCIE),否,否,2025 CAS/JCR user table
DIABETIC MEDICINE,3.4,JCR Q2 / CAS 3区,Q2,CAS 3区,75/191,ENDOCRINOLOGY & METABOLISM(SCIE),否,否,2025 CAS/JCR user table
DIABETOLOGIA,10.2,JCR Q1 / CAS 1区,Q1,CAS 1区,12/191,ENDOCRINOLOGY & METABOLISM(SCIE),是,否,2025 CAS/JCR user table
Diabetologie,0.2,JCR Q4 / CAS 4区,Q4,CAS 4区,187/191,ENDOCRINOLOGY & METABOLISM(SCIE),否,否,2025 CAS/JCR user table
Diabetologie und Stoffwechsel,0.6,JCR Q4 / CAS 4区,Q4,CAS 4区,176/191,ENDOCRINOLOGY & METABOLISM(SCIE),否,否,2025 CAS/JCR user table
Diabetology,2.2,JCR Q3 / CAS 4区,Q3,CAS 4区,133/191,ENDOCRINOLOGY & METABOLISM(ESCI),否,是,2025 CAS/JCR user table
Diabetology & Metabolic Syndrome,3.9,JCR Q2 / CAS 3区,Q2,CAS 3区,56/191,ENDOCRINOLOGY & METABOLISM(SCIE),否,是,2025 CAS/JCR user table
Diabetology International,1.2,JCR Q4 / CAS 4区,Q4,CAS 4区,164/191,ENDOCRINOLOGY & METABOLISM(ESCI),否,否,2025 CAS/JCR user table
Diachronica,0.8,JCR Q3 / CAS 2区,Q3,CAS 2区,174/303,LANGUAGE & LINGUISTICS(AHCI);LINGUISTICS(SSCI),否,否,2025 CAS/JCR user table
DIACRITICS-A REVIEW OF CONTEMPORARY CRITICISM,0.2,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,LITERARY THEORY & CRITICISM(AHCI),否,否,2025 CAS/JCR user table
Diagnosis,2.0,JCR Q2 / CAS 4区,Q2,CAS 4区,101/332,"MEDICINE, GENERAL & INTERNAL(ESCI)",否,否,2025 CAS/JCR user table
Diagnostic and Interventional Imaging,8.1,JCR Q1 / CAS 2区,Q1,CAS 2区,8/212,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)",否,否,2025 CAS/JCR user table
Diagnostic and Interventional Radiology,1.7,JCR Q3 / CAS 4区,Q3,CAS 4区,130/212,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)",否,是,2025 CAS/JCR user table
Diagnostic and Prognostic Research,2.6,JCR Q1,Q1,待核实,70/332,"MEDICINE, GENERAL & INTERNAL(ESCI)",,,2025 CAS/JCR user table
DIAGNOSTIC CYTOPATHOLOGY,1.0,JCR Q4 / CAS 4区,Q4,CAS 4区,25/33,MEDICAL LABORATORY TECHNOLOGY(SCIE);PATHOLOGY(SCIE),否,否,2025 CAS/JCR user table
DIAGNOSTIC MICROBIOLOGY AND INFECTIOUS DISEASE,1.8,JCR Q3 / CAS 4区,Q3,CAS 4区,95/137,INFECTIOUS DISEASES(SCIE);MICROBIOLOGY(SCIE),否,否,2025 CAS/JCR user table
Diagnostic Pathology,2.3,JCR Q2 / CAS 3区,Q2,CAS 3区,40/90,PATHOLOGY(SCIE),否,是,2025 CAS/JCR user table
DIAGNOSTICA,0.8,JCR Q4 / CAS 4区,Q4,CAS 4区,148/185,"PSYCHOLOGY, CLINICAL(SSCI)",否,否,2025 CAS/JCR user table
Diagnostics,3.3,JCR Q1 / CAS 3区,Q1,CAS 3区,57/332,"MEDICINE, GENERAL & INTERNAL(SCIE)",否,是,2025 CAS/JCR user table
DIALECTICAL ANTHROPOLOGY,1.1,JCR Q2 / CAS 4区,Q2,CAS 4区,54/141,ANTHROPOLOGY(ESCI),否,否,2025 CAS/JCR user table
Dialectologia,0.1,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,LANGUAGE & LINGUISTICS(ESCI),否,是,2025 CAS/JCR user table
Dialectologia et Geolinguistica,0.2,JCR Q4 / CAS 4区,Q4,CAS 4区,267/303,LANGUAGE & LINGUISTICS(AHCI);LINGUISTICS(SSCI),否,否,2025 CAS/JCR user table
Dialog so Vremenem-Dialogue with Time,0.1,JCR Q3 / CAS 4区,Q3,CAS 4区,363/538,HISTORY(ESCI),否,否,2025 CAS/JCR user table
Dialog-A Journal of Theology,0.2,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,RELIGION(AHCI),否,否,2025 CAS/JCR user table
Dialogia,0.1,JCR Q4 / CAS 4区,Q4,CAS 4区,700/756,EDUCATION & EDUCATIONAL RESEARCH(ESCI),否,是,2025 CAS/JCR user table
Dialogic Pedagogy,0.7,JCR Q3 / CAS 4区,Q3,CAS 4区,518/756,EDUCATION & EDUCATIONAL RESEARCH(ESCI),否,是,2025 CAS/JCR user table
Dialogica,<0.1,JCR Q4 / CAS 4区,Q4,CAS 4区,738/756,EDUCATION & EDUCATIONAL RESEARCH(ESCI),否,否,2025 CAS/JCR user table
Dialogo,0.1,JCR Q4 / CAS 4区,Q4,CAS 4区,244/271,"SOCIAL SCIENCES, INTERDISCIPLINARY(ESCI)",否,是,2025 CAS/JCR user table
Dialogo das Letras,0.1,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,LANGUAGE & LINGUISTICS(ESCI),否,是,2025 CAS/JCR user table
DIALOGUE-CANADIAN PHILOSOPHICAL REVIEW,0.1,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,PHILOSOPHY(AHCI),否,否,2025 CAS/JCR user table
Dialogues in Clinical Neuroscience,8.9,JCR Q1 / CAS 2区,Q1,CAS 2区,18/314,NEUROSCIENCES(SCIE),否,否,2025 CAS/JCR user table
Dialogues in Human Geography,9.6,JCR Q1 / CAS 1区,Q1,CAS 1区,1/173,GEOGRAPHY(SSCI),是,否,2025 CAS/JCR user table
Dialogues in Philosophy Mental and Neuro Sciences,<0.1,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,PHILOSOPHY(ESCI),否,否,2025 CAS/JCR user table
Diametros,0.4,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,PHILOSOPHY(ESCI),否,是,2025 CAS/JCR user table
DIAMOND AND RELATED MATERIALS,5.1,JCR Q1 / CAS 3区,Q1,CAS 3区,45/187,"MATERIALS SCIENCE, COATINGS & FILMS(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);PHYSICS, APPLIED(SCIE);PHYSICS, CONDENSED MATTER(SCIE)",否,否,2025 CAS/JCR user table
Diaspora Studies,0.5,JCR Q4 / CAS 4区,Q4,CAS 4区,42/50,DEMOGRAPHY(ESCI),否,否,2025 CAS/JCR user table
Diasporas-Histoire et Societes,<0.1,JCR Q4 / CAS 4区,Q4,CAS 4区,479/538,HISTORY(AHCI),否,是,2025 CAS/JCR user table
DIATOM RESEARCH,1.3,JCR Q3 / CAS 3区,Q3,CAS 3区,71/119,MARINE & FRESHWATER BIOLOGY(SCIE),否,否,2025 CAS/JCR user table
Dicenda-Cuadernos de Filologia Hispanica,0.1,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,"LITERATURE, ROMANCE(ESCI)",否,是,2025 CAS/JCR user table
DICKENS QUARTERLY,0.7,JCR N/A / CAS 3区,N/A,CAS 3区,N/A,"LITERATURE, BRITISH ISLES(AHCI)",否,否,2025 CAS/JCR user table
Dickens Studies Annual,0.5,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,"LITERATURE, BRITISH ISLES(ESCI)",否,否,2025 CAS/JCR user table
DICKENSIAN,1.0,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,"LITERATURE, BRITISH ISLES(AHCI)",否,否,2025 CAS/JCR user table
Didactica de las Ciencias Experimentales y Sociales,0.2,JCR Q4 / CAS 4区,Q4,CAS 4区,668/756,EDUCATION & EDUCATIONAL RESEARCH(ESCI),否,是,2025 CAS/JCR user table
Didactica-Lengua y Literatura,0.3,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,LANGUAGE & LINGUISTICS(ESCI),否,是,2025 CAS/JCR user table
Differences-A Journal of Feminist Cultural Studies,0.3,JCR Q3 / CAS 4区,Q3,CAS 4区,43/64,"CULTURAL STUDIES(AHCI, SSCI);WOMENS STUDIES(SSCI)",否,否,2025 CAS/JCR user table
Differential and Integral Equations,1.1,JCR Q1 / CAS 3区,Q1,CAS 3区,108/483,"MATHEMATICS(SCIE);MATHEMATICS, APPLIED(SCIE)",否,否,2025 CAS/JCR user table
DIFFERENTIAL EQUATIONS,0.8,JCR Q2 / CAS 4区,Q2,CAS 4区,193/483,MATHEMATICS(SCIE),否,否,2025 CAS/JCR user table
Differential Equations & Applications,0.7,JCR Q3 / CAS 4区,Q3,CAS 4区,257/343,"MATHEMATICS, APPLIED(ESCI)",否,否,2025 CAS/JCR user table
Differential Equations and Dynamical Systems,0.9,JCR Q3 / CAS 4区,Q3,CAS 4区,216/343,"MATHEMATICS, APPLIED(ESCI)",否,否,2025 CAS/JCR user table
DIFFERENTIAL GEOMETRY AND ITS APPLICATIONS,0.7,JCR Q2 / CAS 4区,Q2,CAS 4区,239/483,"MATHEMATICS(SCIE);MATHEMATICS, APPLIED(SCIE)",否,否,2025 CAS/JCR user table
DIFFERENTIATION,2.6,JCR Q2 / CAS 3区,Q2,CAS 3区,12/39,CELL BIOLOGY(SCIE);DEVELOPMENTAL BIOLOGY(SCIE),否,否,2025 CAS/JCR user table
Digest Journal of Nanomaterials and Biostructures,1.3,JCR Q4 / CAS 4区,Q4,CAS 4区,382/460,"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE)",否,是,2025 CAS/JCR user table
Digest of Middle East Studies,1.2,JCR Q1 / CAS 4区,Q1,CAS 4区,35/182,AREA STUDIES(ESCI),否,否,2025 CAS/JCR user table
DIGESTION,3.6,JCR Q2 / CAS 4区,Q2,CAS 4区,46/147,GASTROENTEROLOGY & HEPATOLOGY(SCIE),否,否,2025 CAS/JCR user table
DIGESTIVE AND LIVER DISEASE,3.8,JCR Q2 / CAS 2区,Q2,CAS 2区,41/147,GASTROENTEROLOGY & HEPATOLOGY(SCIE),否,否,2025 CAS/JCR user table
DIGESTIVE DISEASES,2.1,JCR Q3 / CAS 4区,Q3,CAS 4区,89/147,GASTROENTEROLOGY & HEPATOLOGY(SCIE),否,否,2025 CAS/JCR user table
DIGESTIVE DISEASES AND SCIENCES,2.5,JCR Q2 / CAS 4区,Q2,CAS 4区,68/147,GASTROENTEROLOGY & HEPATOLOGY(SCIE),否,否,2025 CAS/JCR user table
Digestive Endoscopy,4.7,JCR Q1 / CAS 2区,Q1,CAS 2区,17/312,GASTROENTEROLOGY & HEPATOLOGY(SCIE);SURGERY(SCIE),否,否,2025 CAS/JCR user table
DIGESTIVE SURGERY,1.2,JCR Q3 / CAS 4区,Q3,CAS 4区,204/312,GASTROENTEROLOGY & HEPATOLOGY(SCIE);SURGERY(SCIE),否,否,2025 CAS/JCR user table
Digital Business,7.2,JCR Q1,Q1,待核实,34/316,BUSINESS(ESCI);MANAGEMENT(ESCI),,,2025 CAS/JCR user table
Digital Chemical Engineering,4.1,JCR Q2 / CAS 4区,Q2,CAS 4区,60/175,"ENGINEERING, CHEMICAL(ESCI)",否,是,2025 CAS/JCR user table
Digital Communications and Networks,7.5,JCR Q1 / CAS 2区,Q1,CAS 2区,14/120,TELECOMMUNICATIONS(SCIE),否,是,2025 CAS/JCR user table
DIGITAL CREATIVITY,2.7,JCR N/A / CAS 3区,N/A,CAS 3区,N/A,ART(AHCI),否,否,2025 CAS/JCR user table
Digital Discovery,5.6,JCR Q1 / CAS 2区,Q1,CAS 2区,35/175,"CHEMISTRY, MULTIDISCIPLINARY(ESCI);COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(ESCI)",否,是,2025 CAS/JCR user table
Digital Education Review,0.9,JCR Q3 / CAS 4区,Q3,CAS 4区,464/756,EDUCATION & EDUCATIONAL RESEARCH(ESCI),否,是,2025 CAS/JCR user table
Digital Health,3.3,JCR Q1 / CAS 3区,Q1,CAS 3区,15/124,"HEALTH CARE SCIENCES & SERVICES(SCIE);HEALTH POLICY & SERVICES(SSCI);MEDICAL INFORMATICS(SCIE);PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE, SSCI)",否,是,2025 CAS/JCR user table
Digital Humanities Quarterly,0.8,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,"HUMANITIES, MULTIDISCIPLINARY(ESCI)",否,是,2025 CAS/JCR user table
Digital Journalism,5.4,JCR Q1 / CAS 1区,Q1,CAS 1区,7/227,COMMUNICATION(SSCI),是,否,2025 CAS/JCR user table
Digital Library Perspectives,1.2,JCR Q3 / CAS 4区,Q3,CAS 4区,87/166,INFORMATION SCIENCE & LIBRARY SCIENCE(ESCI),否,否,2025 CAS/JCR user table
Digital Policy Regulation and Governance,2.7,JCR Q2 / CAS 4区,Q2,CAS 4区,43/166,INFORMATION SCIENCE & LIBRARY SCIENCE(ESCI),否,否,2025 CAS/JCR user table
Digital Scholarship in the Humanities,1.1,JCR Q2 / CAS 3区,Q2,CAS 3区,134/303,"HUMANITIES, MULTIDISCIPLINARY(AHCI);LINGUISTICS(SSCI)",否,否,2025 CAS/JCR user table
DIGITAL SIGNAL PROCESSING,3.0,JCR Q2 / CAS 3区,Q2,CAS 3区,156/366,"ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)",否,否,2025 CAS/JCR user table
Digital Threats: Research and Practice,2.3,JCR Q3,Q3,待核实,147/258,"COMPUTER SCIENCE, INFORMATION SYSTEMS(ESCI)",,,2025 CAS/JCR user table
digitAR-Revista Digital de Arqueologia Arquitectura e Artes-Digital Journal of Archaeology Architecture and Arts,<0.1,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,"HUMANITIES, MULTIDISCIPLINARY(ESCI)",否,否,2025 CAS/JCR user table
Digithum,<0.1,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,"HUMANITIES, MULTIDISCIPLINARY(ESCI)",否,是,2025 CAS/JCR user table
Dimension Empresarial,待核实,CAS 4区,待核实,CAS 4区,,,否,是,2025 CAS/JCR user table
Dimensions of Critical Care Nursing,1.4,JCR Q3 / CAS 4区,Q3,CAS 4区,110/192,NURSING(ESCI),否,否,2025 CAS/JCR user table
Dinbilimleri Akademik Arastirma Dergisi-Journal of Academic Research in Religious Sciences,0.1,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,RELIGION(ESCI),否,否,2025 CAS/JCR user table
Diplomacy & Statecraft,0.3,JCR Q2 / CAS 4区,Q2,CAS 4区,176/538,HISTORY(SSCI);INTERNATIONAL RELATIONS(SSCI),否,否,2025 CAS/JCR user table
DIPLOMATIC HISTORY,0.7,JCR Q1 / CAS 3区,Q1,CAS 3区,49/538,"HISTORY(AHCI, SSCI)",否,否,2025 CAS/JCR user table
Diplomatica,0.6,JCR Q1 / CAS 4区,Q1,CAS 4区,65/538,HISTORY(ESCI);INTERNATIONAL RELATIONS(ESCI),否,否,2025 CAS/JCR user table
Dirasat Hispanicas-Revista Tunecina de Estudios Hispanicos,<0.1,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,"HUMANITIES, MULTIDISCIPLINARY(ESCI)",否,是,2025 CAS/JCR user table
Direccion y Organizacion,0.4,JCR Q4 / CAS 4区,Q4,CAS 4区,388/420,MANAGEMENT(ESCI),否,否,2025 CAS/JCR user table
Direito e Praxis,0.5,JCR Q3 / CAS 4区,Q3,CAS 4区,225/434,LAW(ESCI),否,是,2025 CAS/JCR user table
Diritti Umani e Diritto Internazionale,0.1,JCR Q4 / CAS 4区,Q4,CAS 4区,363/434,INTERNATIONAL RELATIONS(ESCI);LAW(ESCI),否,否,2025 CAS/JCR user table
Disabilities,1.4,JCR Q3,Q3,待核实,96/173,REHABILITATION(ESCI),,,2025 CAS/JCR user table
DISABILITY & SOCIETY,2.0,JCR Q1 / CAS 3区,Q1,CAS 3区,56/271,"REHABILITATION(SSCI);SOCIAL SCIENCES, INTERDISCIPLINARY(SSCI)",否,否,2025 CAS/JCR user table
Disability and Health Journal,3.3,JCR Q1 / CAS 2区,Q1,CAS 2区,13/173,"HEALTH CARE SCIENCES & SERVICES(SCIE);HEALTH POLICY & SERVICES(SSCI);PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE, SSCI);REHABILITATION(SCIE, SSCI)",否,否,2025 CAS/JCR user table
DISABILITY AND REHABILITATION,2.0,JCR Q2 / CAS 4区,Q2,CAS 4区,53/173,"REHABILITATION(SCIE, SSCI)",否,否,2025 CAS/JCR user table
Disability and Rehabilitation-Assistive Technology,2.2,JCR Q1 / CAS 4区,Q1,CAS 4区,43/173,REHABILITATION(SSCI),否,否,2025 CAS/JCR user table
Disaster Medicine and Public Health Preparedness,1.8,JCR Q3 / CAS 4区,Q3,CAS 4区,247/419,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE, SSCI)",否,否,2025 CAS/JCR user table
Disaster Prevention and Management,2.0,JCR Q3 / CAS 4区,Q3,CAS 4区,215/419,"ENVIRONMENTAL STUDIES(SSCI);MANAGEMENT(SSCI);PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SSCI)",否,否,2025 CAS/JCR user table
DISASTERS,2.6,JCR Q1 / CAS 3区,Q1,CAS 3区,39/271,"ENVIRONMENTAL STUDIES(SSCI);SOCIAL SCIENCES, INTERDISCIPLINARY(SSCI)",否,否,2025 CAS/JCR user table
Discours-Revue de Linguistique Psycholinguistique et Informatique,0.7,JCR Q3 / CAS 3区,Q3,CAS 3区,187/303,LINGUISTICS(ESCI),否,是,2025 CAS/JCR user table
Discourse & Communication,2.2,JCR Q2 / CAS 2区,Q2,CAS 2区,57/227,COMMUNICATION(SSCI),是,否,2025 CAS/JCR user table
DISCOURSE & SOCIETY,2.7,JCR Q1 / CAS 1区,Q1,CAS 1区,36/227,"COMMUNICATION(SSCI);PSYCHOLOGY, MULTIDISCIPLINARY(SSCI);SOCIOLOGY(SSCI)",是,否,2025 CAS/JCR user table
Discourse Context & Media,3.1,JCR Q1 / CAS 1区,Q1,CAS 1区,28/227,COMMUNICATION(SSCI),是,否,2025 CAS/JCR user table
DISCOURSE PROCESSES,2.1,JCR Q2 / CAS 2区,Q2,CAS 2区,33/74,"PSYCHOLOGY, EDUCATIONAL(SSCI);PSYCHOLOGY, EXPERIMENTAL(SSCI)",否,否,2025 CAS/JCR user table
DISCOURSE STUDIES,1.7,JCR Q2 / CAS 2区,Q2,CAS 2区,86/227,COMMUNICATION(SSCI),是,否,2025 CAS/JCR user table
Discourse-Journal for Theoretical Studies in Media and Culture,0.3,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,"HUMANITIES, MULTIDISCIPLINARY(ESCI)",否,否,2025 CAS/JCR user table
Discourse-Studies in the Cultural Politics of Education,2.0,JCR Q2 / CAS 3区,Q2,CAS 3区,197/756,EDUCATION & EDUCATIONAL RESEARCH(SSCI),否,否,2025 CAS/JCR user table
Discover Applied Sciences,N/A,JCR N/A,N/A,待核实,N/A,MULTIDISCIPLINARY SCIENCES(ESCI),,,2025 CAS/JCR user table
Discover Computing,N/A,JCR N/A,N/A,待核实,N/A,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE)",,,2025 CAS/JCR user table
Discover Food,3.7,JCR Q2,Q2,待核实,60/181,FOOD SCIENCE & TECHNOLOGY(ESCI),,,2025 CAS/JCR user table
Discover Materials,5.1,JCR Q2,Q2,待核实,141/460,"MATERIALS SCIENCE, MULTIDISCIPLINARY(ESCI)",,,2025 CAS/JCR user table
Discover Mental Health,2.7,JCR Q2,Q2,待核实,112/288,PSYCHIATRY(ESCI),,,2025 CAS/JCR user table
Discover Nano,4.5,JCR Q2 / CAS 3区,Q2,CAS 3区,53/187,"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE);PHYSICS, APPLIED(SCIE)",否,是,2025 CAS/JCR user table
Discover Oncology,2.9,JCR Q2 / CAS 4区,Q2,CAS 4区,153/326,ENDOCRINOLOGY & METABOLISM(SCIE);ONCOLOGY(SCIE),否,否,2025 CAS/JCR user table
Discover Psychology,1.6,JCR Q2,Q2,待核实,103/221,"PSYCHOLOGY, MULTIDISCIPLINARY(ESCI)",,,2025 CAS/JCR user table
Discover Public Health,N/A,JCR N/A,N/A,待核实,N/A,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(ESCI)",,,2025 CAS/JCR user table
Discover Social Science and Health,1.3,JCR Q4,Q4,待核实,315/419,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(ESCI);SOCIAL SCIENCES, BIOMEDICAL(ESCI)",,,2025 CAS/JCR user table
Discover Space,N/A,JCR N/A,N/A,待核实,N/A,"ASTRONOMY & ASTROPHYSICS(SCIE);GEOSCIENCES, MULTIDISCIPLINARY(SCIE)",,,2025 CAS/JCR user table
Discover Sustainability,3.0,JCR Q2 / CAS 4区,Q2,CAS 4区,93/191,ENVIRONMENTAL SCIENCES(ESCI);ENVIRONMENTAL STUDIES(ESCI);GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY(ESCI),否,是,2025 CAS/JCR user table
Discovery Medicine,2.1,JCR Q3 / CAS 4区,Q3,CAS 4区,117/195,"MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)",否,否,2025 CAS/JCR user table
DISCRETE & COMPUTATIONAL GEOMETRY,0.6,JCR Q3 / CAS 4区,Q3,CAS 4区,282/483,"COMPUTER SCIENCE, THEORY & METHODS(SCIE);MATHEMATICS(SCIE)",否,否,2025 CAS/JCR user table
Discrete Analysis,1.3,JCR Q1 / CAS 4区,Q1,CAS 4区,71/483,MATHEMATICS(SCIE),否,是,2025 CAS/JCR user table
DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS,1.1,JCR Q1 / CAS 3区,Q1,CAS 3区,108/483,"MATHEMATICS(SCIE);MATHEMATICS, APPLIED(SCIE)",否,否,2025 CAS/JCR user table
DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS-SERIES B,1.3,JCR Q2 / CAS 4区,Q2,CAS 4区,126/343,"MATHEMATICS, APPLIED(SCIE)",否,否,2025 CAS/JCR user table
Discrete and Continuous Dynamical Systems-Series S,1.0,JCR Q3 / CAS 4区,Q3,CAS 4区,192/343,"MATHEMATICS, APPLIED(SCIE)",否,否,2025 CAS/JCR user table
DISCRETE APPLIED MATHEMATICS,1.1,JCR Q2 / CAS 3区,Q2,CAS 3区,162/343,"MATHEMATICS, APPLIED(SCIE)",否,否,2025 CAS/JCR user table
DISCRETE DYNAMICS IN NATURE AND SOCIETY,1.2,JCR Q3 / CAS 4区,Q3,CAS 4区,73/135,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS(SCIE);MULTIDISCIPLINARY SCIENCES(SCIE)",否,是,2025 CAS/JCR user table
DISCRETE EVENT DYNAMIC SYSTEMS-THEORY AND APPLICATIONS,1.6,JCR Q2 / CAS 4区,Q2,CAS 4区,98/343,"AUTOMATION & CONTROL SYSTEMS(SCIE);MATHEMATICS, APPLIED(SCIE);OPERATIONS RESEARCH & MANAGEMENT SCIENCE(SCIE)",否,否,2025 CAS/JCR user table
DISCRETE MATHEMATICS,0.9,JCR Q2 / CAS 3区,Q2,CAS 3区,159/483,MATHEMATICS(SCIE),否,否,2025 CAS/JCR user table
Discrete Mathematics Algorithms and Applications,0.4,JCR Q4 / CAS 4区,Q4,CAS 4区,314/343,"MATHEMATICS, APPLIED(ESCI)",否,否,2025 CAS/JCR user table
Discrete Mathematics and Applications,0.3,JCR Q4 / CAS 4区,Q4,CAS 4区,328/343,"MATHEMATICS, APPLIED(ESCI)",否,否,2025 CAS/JCR user table
DISCRETE MATHEMATICS AND THEORETICAL COMPUTER SCIENCE,0.5,JCR Q3 / CAS 4区,Q3,CAS 4区,334/483,"COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE);MATHEMATICS(SCIE);MATHEMATICS, APPLIED(SCIE)",否,是,2025 CAS/JCR user table
Discrete Mathematics Letters,0.8,JCR Q2 / CAS 4区,Q2,CAS 4区,193/483,"MATHEMATICS(ESCI);MATHEMATICS, APPLIED(ESCI)",否,是,2025 CAS/JCR user table
Discrete Optimization,1.6,JCR Q2 / CAS 4区,Q2,CAS 4区,98/343,"MATHEMATICS, APPLIED(SCIE);OPERATIONS RESEARCH & MANAGEMENT SCIENCE(SCIE)",否,否,2025 CAS/JCR user table
Discussiones Mathematicae Graph Theory,0.8,JCR Q2 / CAS 4区,Q2,CAS 4区,193/483,MATHEMATICS(SCIE),否,是,2025 CAS/JCR user table
Disease Models & Mechanisms,3.3,JCR Q1 / CAS 3区,Q1,CAS 3区,22/90,"CELL BIOLOGY(SCIE);MEDICINE, RESEARCH & EXPERIMENTAL(SCIE);PATHOLOGY(SCIE)",否,是,2025 CAS/JCR user table
Diseases,3.0,JCR Q2 / CAS 4区,Q2,CAS 4区,90/195,"MEDICINE, RESEARCH & EXPERIMENTAL(ESCI)",否,是,2025 CAS/JCR user table
DISEASES OF AQUATIC ORGANISMS,1.2,JCR Q3 / CAS 4区,Q3,CAS 4区,89/170,FISHERIES(SCIE);VETERINARY SCIENCES(SCIE),否,否,2025 CAS/JCR user table
DISEASES OF THE COLON & RECTUM,3.7,JCR Q1 / CAS 2区,Q1,CAS 2区,33/312,GASTROENTEROLOGY & HEPATOLOGY(SCIE);SURGERY(SCIE),否,否,2025 CAS/JCR user table
DISEASES OF THE ESOPHAGUS,2.3,JCR Q3 / CAS 4区,Q3,CAS 4区,80/147,GASTROENTEROLOGY & HEPATOLOGY(SCIE),否,否,2025 CAS/JCR user table
